date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W49,浙江,10,399.8,0.08,0.035,0.18,0.06000000000000001,0.06,0.585,0.17511900715418266,0.06687467549246294,0.24855135843076331,0.1349897115421106,0.1577621275493231,neutral,中性,0.585,0.2807017543859649,0.41500000000000004,0.6666666666666669,False
2019-W49,海南,3,278.0,0.03333333333333333,0.0,0.4666666666666666,0.0,0.19999999999999998,0.3,0.05773502691896258,0.0,0.40414518843273806,0.0,0.34641016151377546,anger,愤怒,0.4666666666666666,0.06993006993006994,0.7,0.0,False
2019-W49,湖北,4,192.5,0.07500000000000001,0.1,0.15,0.0125,0.0,0.6625,0.09574271077563382,0.1414213562373095,0.3,0.025,0.0,neutral,中性,0.6625,0.27522935779816515,0.3375,0.14705882352941177,False
2019-W49,湖南,9,547.0,0.11666666666666667,0.07777777777777778,0.17222222222222222,0.03333333333333334,0.03333333333333334,0.5666666666666668,0.2345207879911715,0.1003466214899358,0.23731718109830238,0.04330127018922193,0.04330127018922193,neutral,中性,0.5666666666666668,0.3977272727272727,0.43333333333333324,0.26315789473684215,False
2019-W49,澳门,1,100.0,0.0,0.3,0.5,0.1,0.1,0.0,,,,,,anger,愤怒,0.5,0.0,1.0,10.0,False
2019-W49,甘肃,8,211.375,0.018750000000000003,0.1,0.23124999999999998,0.09375,0.06875,0.4875,0.03720119045714225,0.1336306209562122,0.3104576115533787,0.16995272451899257,0.09977653603356423,neutral,中性,0.4875,0.04310344827586208,0.5125,3.2608695652173907,False
2019-W49,福建,8,228.75,0.1125,0.075,0.33125,0.05,0.05,0.38125000000000003,0.2799872446074234,0.13887301496588272,0.3272586351583626,0.07559289460184546,0.03779644730092272,neutral,中性,0.38125000000000003,0.24128686327077747,0.6187499999999999,0.40816326530612246,False
2019-W49,西藏,2,175.0,0.0,0.0,0.375,0.0,0.025,0.6,0.0,0.0,0.5303300858899106,0.0,0.03535533905932738,neutral,中性,0.6,0.0,0.4,0.0,False
2019-W49,贵州,4,534.5,0.6000000000000001,0.0,0.0,0.0,0.08750000000000001,0.3125,0.4,0.0,0.0,0.0,0.025,joy,喜悦,0.6000000000000001,60.00000000000001,0.6875,0.0,False
2019-W49,辽宁,16,373.25,0.073125,0.024999999999999998,0.303125,0.00125,0.050625,0.546875,0.1839100776647834,0.07745966692414834,0.2991480959881465,0.005000000000000001,0.0627661001921685,neutral,中性,0.546875,0.2154696132596685,0.453125,0.015037593984962409,False
2019-W49,重庆,5,403.8,0.13,0.13,0.51,0.01,0.05600000000000001,0.164,0.21095023109728986,0.19874606914351792,0.20736441353327717,0.0223606797749979,0.043931765272977596,anger,愤怒,0.51,0.19696969696969696,0.836,0.07142857142857142,False
2019-W49,陕西,12,302.4166666666667,0.125,0.04583333333333334,0.33749999999999997,0.008333333333333333,0.05833333333333334,0.425,0.27344602259445516,0.06556860852757533,0.30085106553968466,0.02886751345948129,0.051492865054443726,neutral,中性,0.425,0.3112033195020747,0.575,0.06172839506172839,False
2019-W49,青海,1,205.0,0.4,0.0,0.0,0.0,0.1,0.5,,,,,,neutral,中性,0.5,40.0,0.5,0.0,False
2019-W49,香港,4,336.5,0.1125,0.025,0.1,0.0,0.1625,0.6,0.08539125638299666,0.05,0.2,0.0,0.19737865470545018,neutral,中性,0.6,0.8333333333333333,0.4,0.0,False
2019-W49,黑龙江,6,321.3333333333333,0.2916666666666667,0.008333333333333333,0.3,0.0,0.025000000000000005,0.375,0.3105103326246434,0.020412414523193152,0.3286335345030996,0.0,0.041833001326703784,neutral,中性,0.375,0.9162303664921466,0.625,0.0,False
2019-W50,上海,3,296.0,0.3,0.03333333333333333,0.0,0.0,0.10000000000000002,0.5666666666666667,0.2,0.05773502691896258,0.0,0.0,0.1,neutral,中性,0.5666666666666667,6.9230769230769225,0.43333333333333335,0.0,False
2019-W50,云南,5,299.0,0.25999999999999995,0.04,0.1,0.0,0.06000000000000001,0.54,0.3209361307176242,0.0894427190999916,0.223606797749979,0.0,0.05477225575051661,neutral,中性,0.54,1.7333333333333327,0.45999999999999996,0.0,False
2019-W50,内蒙古,2,271.0,0.1,0.0,0.3,0.15000000000000002,0.0,0.45,0.14142135623730953,0.0,0.4242640687119285,0.07071067811865475,0.0,neutral,中性,0.45,0.21739130434782608,0.55,1.3636363636363638,False
2019-W50,北京,5,445.6,0.21000000000000002,0.04,0.06,0.06,0.06,0.5700000000000001,0.31304951684997057,0.041833001326703784,0.1341640786499874,0.1341640786499874,0.06519202405202648,neutral,中性,0.5700000000000001,1.2352941176470589,0.42999999999999994,0.2727272727272727,False
2019-W50,台湾,1,465.0,0.6,0.0,0.0,0.0,0.2,0.2,,,,,,joy,喜悦,0.6,60.0,0.8,0.0,False
2019-W50,吉林,4,233.5,0.1625,0.025,0.0,0.05,0.05,0.7125,0.2926174977679906,0.05,0.0,0.05773502691896258,0.05773502691896258,neutral,中性,0.7125,1.9117647058823528,0.2875,0.2898550724637681,False
2019-W50,四川,7,459.2857142857143,0.2285714285714286,0.05714285714285715,0.07142857142857142,0.042857142857142864,0.09285714285714286,0.5071428571428571,0.33022358947782493,0.11338934190276817,0.18898223650461363,0.07867957924694433,0.11700630833624395,neutral,中性,0.5071428571428571,1.2598425196850394,0.4928571428571429,0.17964071856287425,False
2019-W50,天津,4,187.75,0.35,0.05,0.0,0.025,0.15000000000000002,0.425,0.3,0.05773502691896258,0.0,0.05,0.05773502691896258,neutral,中性,0.425,4.117647058823529,0.575,0.06944444444444445,False
2019-W50,宁夏,1,415.0,0.6,0.0,0.0,0.0,0.1,0.3,,,,,,joy,喜悦,0.6,60.0,0.7,0.0,False
2019-W50,安徽,10,451.3,0.135,0.01,0.065,0.030000000000000006,0.15,0.61,0.15994790818680105,0.03162277660168379,0.20554804791094466,0.0674948557710553,0.13743685418725535,neutral,中性,0.61,1.173913043478261,0.39,0.20689655172413796,False
2019-W50,山东,6,305.3333333333333,0.075,0.016666666666666666,0.0,0.0,0.13333333333333333,0.775,0.16046806535881214,0.040824829046386304,0.0,0.0,0.2160246899469287,neutral,中性,0.775,2.8125,0.22499999999999998,0.0,False
2019-W50,山西,4,232.5,0.0125,0.0625,0.15,0.05,0.025,0.7,0.025,0.09464847243000456,0.23804761428476168,0.1,0.02886751345948129,neutral,中性,0.7,0.045871559633027525,0.30000000000000004,2.2222222222222223,False
2019-W50,广东,8,374.75,0.28125,0.03125,0.075,0.0125,0.05,0.55,0.3272586351583626,0.07039429765866795,0.17525491637693283,0.035355339059327376,0.07559289460184546,neutral,中性,0.55,2.1844660194174756,0.44999999999999996,0.04291845493562232,False
2019-W50,广西,9,276.1111111111111,0.24444444444444446,0.01666666666666667,0.09444444444444444,0.01666666666666667,0.1111111111111111,0.5166666666666667,0.3273419890233726,0.035355339059327376,0.23243876134968922,0.035355339059327376,0.11931517552730293,neutral,中性,0.5166666666666667,1.774193548387097,0.4833333333333333,0.06550218340611354,False
2019-W50,新疆,4,282.75,0.1875,0.0125,0.0125,0.0,0.07500000000000001,0.7124999999999999,0.27801378862687126,0.025,0.025,0.0,0.09574271077563382,neutral,中性,0.7124999999999999,5.357142857142857,0.2875000000000001,0.0,False
2019-W50,江苏,2,232.0,0.05,0.2,0.1,0.05,0.15,0.44999999999999996,0.07071067811865477,0.28284271247461906,0.14142135623730953,0.07071067811865477,0.21213203435596426,neutral,中性,0.44999999999999996,0.13888888888888887,0.55,0.8333333333333333,False
2019-W50,江西,1,155.0,0.0,0.0,0.0,0.0,0.05,0.95,,,,,,neutral,中性,0.95,0.0,0.050000000000000044,0.0,False
2019-W50,河北,5,356.0,0.32,0.12,0.06,0.01,0.030000000000000006,0.45999999999999996,0.4381780460041329,0.21679483388678802,0.1341640786499874,0.0223606797749979,0.0447213595499958,neutral,中性,0.45999999999999996,1.5999999999999999,0.54,0.030303030303030304,False
2019-W50,河南,9,260.0,0.38333333333333336,0.08333333333333333,0.022222222222222223,0.05555555555555555,0.09444444444444444,0.3611111111111111,0.369120576505835,0.16201851746019652,0.06666666666666668,0.13333333333333336,0.11577036657874837,joy,喜悦,0.38333333333333336,2.2402597402597406,0.6388888888888888,0.14124293785310732,False
2019-W50,浙江,4,333.25,0.44999999999999996,0.025,0.0,0.075,0.1875,0.2625,0.3109126351029605,0.05,0.0,0.15000000000000002,0.08539125638299665,joy,喜悦,0.44999999999999996,4.090909090909091,0.7375,0.16304347826086957,False
2019-W50,海南,1,448.0,0.0,0.3,0.6,0.0,0.0,0.1,,,,,,anger,愤怒,0.6,0.0,0.9,0.0,False
2019-W50,湖北,7,253.14285714285714,0.20714285714285716,0.014285714285714287,0.0,0.014285714285714287,0.021428571428571432,0.7428571428571429,0.3194116615338418,0.024397501823713332,0.0,0.03779644730092273,0.03933978962347216,neutral,中性,0.7428571428571429,5.37037037037037,0.2571428571428571,0.06578947368421052,False
2019-W50,湖南,6,548.6666666666666,0.21666666666666667,0.0,0.09999999999999999,0.0,0.16666666666666666,0.5166666666666667,0.28047578623950176,0.0,0.2449489742783178,0.0,0.17224014243685085,neutral,中性,0.5166666666666667,1.96969696969697,0.4833333333333333,0.0,False
