date_month,province,total_posts,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,fear_std,emotional_intensity,dominant_emotion_key,dominant_emotion,dominant_score,reliable
2019-12,广西,28,0.26142857142857145,0.047142857142857146,0.1392857142857143,0.021428571428571432,0.06642857142857142,0.4642857142857143,0.33839177695238803,0.03950755068144014,0.5357142857142858,neutral,中性,0.4642857142857143,False
2019-12,新疆,11,0.2,0.045454545454545456,0.07727272727272728,0.004545454545454546,0.08181818181818182,0.5909090909090909,0.24186773244895646,0.01507556722888818,0.40909090909090906,neutral,中性,0.5909090909090909,False
2019-12,江苏,30,0.235,0.04666666666666666,0.115,0.03166666666666666,0.10666666666666667,0.465,0.2924775263986549,0.07007795331079444,0.5350000000000001,neutral,中性,0.465,True
2019-12,江西,17,0.23235294117647057,0.06176470588235293,0.011764705882352941,0.01764705882352941,0.07941176470588236,0.5970588235294118,0.2973535230110093,0.04308848624701062,0.40294117647058836,neutral,中性,0.5970588235294118,False
2019-12,河北,30,0.18666666666666665,0.08333333333333333,0.18833333333333335,0.018333333333333333,0.030000000000000002,0.49333333333333335,0.28615565252369973,0.035919770114206905,0.5066666666666666,neutral,中性,0.49333333333333335,True
2019-12,河南,30,0.21333333333333332,0.08,0.07,0.04666666666666666,0.075,0.515,0.3034097415449408,0.09643054793328017,0.485,neutral,中性,0.515,True
2019-12,浙江,30,0.18333333333333332,0.06333333333333334,0.13,0.06833333333333334,0.055,0.5,0.28294429003669225,0.1744366960233432,0.5,neutral,中性,0.5,True
2019-12,海南,8,0.075,0.0375,0.25,0.0,0.125,0.5125,0.1752549163769328,0.0,0.48750000000000004,neutral,中性,0.5125,False
2019-12,湖北,30,0.10666666666666667,0.07833333333333334,0.07,0.17333333333333334,0.041666666666666664,0.53,0.20541519490741328,0.26054761075715965,0.47,neutral,中性,0.53,True
2019-12,湖南,30,0.18666666666666668,0.051666666666666666,0.09666666666666666,0.030000000000000002,0.065,0.5700000000000001,0.2831270378120569,0.08570196955850487,0.43000000000000005,neutral,中性,0.5700000000000001,True
2019-12,澳门,4,0.0,0.16249999999999998,0.6125,0.025,0.07500000000000001,0.125,0.0,0.05,0.875,anger,愤怒,0.6125,False
2019-12,甘肃,21,0.051428571428571435,0.08571428571428572,0.12666666666666668,0.05714285714285714,0.07571428571428572,0.6033333333333333,0.17424941073890937,0.12243948942816028,0.3966666666666667,neutral,中性,0.6033333333333333,False
2019-12,福建,30,0.15166666666666667,0.03166666666666666,0.12000000000000001,0.021666666666666667,0.058333333333333334,0.6166666666666667,0.29109879035668706,0.04676303678329074,0.3833333333333334,neutral,中性,0.6166666666666667,True
2019-12,西藏,3,0.03333333333333333,0.0,0.25,0.0,0.05000000000000001,0.6666666666666666,0.05773502691896258,0.0,0.33333333333333337,neutral,中性,0.6666666666666666,False
2019-12,贵州,13,0.2692307692307692,0.05384615384615384,0.015384615384615385,0.04615384615384615,0.11923076923076924,0.49615384615384617,0.34972516682059407,0.13913653136029502,0.5038461538461538,neutral,中性,0.49615384615384617,False
2019-12,辽宁,30,0.13733333333333334,0.06833333333333333,0.2033333333333333,0.01566666666666667,0.043666666666666666,0.5316666666666666,0.2803683947623362,0.04376136962281194,0.4683333333333334,neutral,中性,0.5316666666666666,True
2019-12,重庆,24,0.1729166666666667,0.07083333333333333,0.1875,0.008333333333333333,0.07,0.49041666666666667,0.20375772413562027,0.02407717061715384,0.5095833333333333,neutral,中性,0.49041666666666667,False
2019-12,陕西,30,0.19666666666666668,0.03166666666666667,0.175,0.02333333333333333,0.051666666666666666,0.5216666666666667,0.32428524409881787,0.06789105539243627,0.4783333333333333,neutral,中性,0.5216666666666667,True
